OBJECTID,parcel_py_PARCEL,parcel_py_PARCEL_NBR,parcel_py_ACRE,LAndBAnkTop100CSVUpdate_csv_PAR,LAndBAnkTop100CSVUpdate_csv_ACR,LAndBAnkTop100CSVUpdate_csv_OWN,LAndBAnkTop100CSVUpdate_csv_Add,LAndBAnkTop100CSVUpdate_csv_NUM,LAndBAnkTop100CSVUpdate_csv_DIR,LAndBAnkTop100CSVUpdate_csv_ST_,LAndBAnkTop100CSVUpdate_csv_SUF,LAndBAnkTop100CSVUpdate_csv_MIS,LAndBAnkTop100CSVUpdate_csv_CIT,LAndBAnkTop100CSVUpdate_csv_STA,LAndBAnkTop100CSVUpdate_csv_ZIP,LAndBAnkTop100CSVUpdate_csv_DEL,LAndBAnkTop100CSVUpdate_csv_VAC,LAndBAnkTop100CSVUpdate_csv_LAN,LAndBAnkTop100CSVUpdate_csv_ORI,LAndBAnkTop100CSVUpdate_csv_Sub,LAndBAnkTop100CSVUpdate_csv_Tax,LAndBAnkTop100CSVUpdate_csv_Sch,LAndBAnkTop100CSVUpdate_csv_UGD,LAndBAnkTop100CSVUpdate_csv_UGA,LAndBAnkTop100CSVUpdate_csv_Pla,LAndBAnkTop100CSVUpdate_csv_Map,LAndBAnkTop100CSVUpdate_csv_Use,LAndBAnkTop100CSVUpdate_csv_App,LAndBAnkTop100CSVUpdate_csv_A_1,LAndBAnkTop100CSVUpdate_csv_Rem,LAndBAnkTop100CSVUpdate_csv_R_1,LAndBAnkTop100CSVUpdate_csv_Unb,LAndBAnkTop100CSVUpdate_csv_R_2,LAndBAnkTop100CSVUpdate_csv_Bui,LAndBAnkTop100CSVUpdate_csv_Hom,LAndBAnkTop100CSVUpdate_csv_Res,LAndBAnkTop100CSVUpdate_csv_Sum,LAndBAnkTop100CSVUpdate_csv_Mea,LAndBAnkTop100CSVUpdate_csv_R_3,LAndBAnkTop100CSVUpdate_csv_B_1,LAndBAnkTop100CSVUpdate_csv_H_1,LAndBAnkTop100CSVUpdate_csv_S_1,LAndBAnkTop100CSVUpdate_csv_M_1,LAndBAnkTop100CSVUpdate_csv_Lot,LAndBAnkTop100CSVUpdate_csv_Ran,LAndBAnkTop100CSVUpdate_csv_R_4,LAndBAnkTop100CSVUpdate_csv_P_1,LAndBAnkTop100CSVUpdate_csv_Dem,LAndBAnkTop100CSVUpdate_csv_Und,LAndBAnkTop100CSVUpdate_csv_Flo,LAndBAnkTop100CSVUpdate_csv_His,LAndBAnkTop100CSVUpdate_csv_Soi,Shape__Area,Shape__Length
598,093172,93172,0.1069660870201,93172,0.106966,WYANDOTTE COUNTY LANDBANK,900  NORTHRUP AVE ,900,,NORTHRUP,AVE,,KANSAS CITY,KS,66101,<Null>,Y,<Null>,R48420,HUSTED & STUMPFS ADD,10,500,2,2,120,4659.443,Residential highest and best use,630,0,LBHD,1,<Null>,3,<Null>,<Null>,119,2407550,20231.51261,0.76,0,0,0.861,0.501,0.36025,686,,93172,1995,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",4659.44281005859,319.818551878067
599,223203,223203,0.258561366869975,223203,0.258561,WYANDOTTE COUNTY LANDBANK,233 N 10TH ST ,233,N,10TH,ST,,KANSAS CITY,KS,66102,<Null>,Y,<Null>,R48558,MC ALPINES ADD EXT,10,500,2,2,95,11262.933,Residential highest and best use,1030,0,LBHD,1,<Null>,1,<Null>,<Null>,92,2165460,23537.6087,0.317,0,0,0.823,0.575,0.254,1153,,223203,2004,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",11262.9331665039,427.417090186592
600,093520,93520,0.161116268369909,93520,0.161116,WYANDOTTE COUNTY LANDBANK,68 N 9TH ST ,68,N,9TH,ST,,KANSAS CITY,KS,66101,<Null>,Y,<Null>,R48859,MC GREW PLACE,10,500,2,2,50,7018.225,Residential highest and best use,770,0,LBHD,1,<Null>,0,<Null>,<Null>,62,1458280,23520.64516,0,0,0,0.638,0.574,0.1515,1659,,93520,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",7018.22467041016,385.104835055839
601,154775,154775,0.231785451974399,154775,0.231785,WYANDOTTE COUNTY LANDBANK,655  METROPOLITAN AVE ,655,,METROPOLITAN,AVE,,KANSAS CITY,KS,66103,<Null>,Y,<Null>,R61368,POTOMAC HEIGHTS,10,500,3,2,100,10096.574,Residential highest and best use,1110,0,LBHD,0,<Null>,1,<Null>,<Null>,12,201690,16807.5,0.317,0,0,0.089,0.436,0.144875,1690,,154775,<Null>,<Null>,<Null>,<Null>,"Knox complex, 18 to 30 percent slopes",10096.57421875,401.931611572501
602,072388,72388,0.0625450364472073,72388,0.062545,WYANDOTTE COUNTY LANDBANK,1237  SHAWNEE AVE ,1237,,SHAWNEE,AVE,,KANSAS CITY,KS,66105,<Null>,Y,<Null>,R60625,ARMOURDALE B121-128,80,500,2,2,25,2724.462,Residential highest and best use,820,0,<Null>,<Null>,<Null>,5,<Null>,1,105,2008720,19130.66667,0.939,0,0.866,0.789,0.476,0.609375,128,58,72388,2006,<Null>,<Null>,<Null>,"Eudora-Urban land complex, rarely flooded",2724.46173095703,274.767126499817
603,127604,127604,0.920601425755604,127604,0.920601,WYANDOTTE COUNTY LANDBANK,1830 S 10TH ST ,1830,S,10TH,ST,,KANSAS CITY,KS,66103,<Null>,Y,<Null>,R63502,BREYFOGLES ADD,10,500,3,2,200,40101.398,Residential highest and best use,2010,0,<Null>,<Null>,<Null>,1,<Null>,1,32,2297870,71808.4375,0.317,0,0.866,0.847,0.931,0.518,224,,127604,0,<Null>,<Null>,<Null>,"Knox complex, 18 to 30 percent slopes",40101.3980712891,801.027663029315
604,120402,120402,0.0714950486803359,120402,0.071495,WYANDOTTE COUNTY LANDBANK,28 N TREMONT ST ,28,N,TREMONT,ST,,KANSAS CITY,KS,66101,<Null>,Y,<Null>,R50252,WHIPPLES ADD,10,500,2,2,25,3114.324,Residential highest and best use,1500,0,LBHD,26,<Null>,0,<Null>,<Null>,35,1005260,28721.71429,0,0,0,0.493,0.655,0.1435,1703,,120402,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 12 to 18 percent slopes",3114.32427978516,292.072598915747
605,155703,155703,0.310015997437693,155703,0.310016,WYANDOTTE COUNTY LANDBANK,1271  FEDERAL AVE ,1271,,FEDERAL,AVE,,KANSAS CITY,KS,66103,<Null>,Y,<Null>,R62929,PUTNAM PLACE,10,500,3,2,150,13504.297,Residential highest and best use,610,0,<Null>,<Null>,<Null>,1,<Null>,<Null>,12,421700,35141.66667,0.317,0,0,0.255,0.749,0.20475,1403,,155703,<Null>,<Null>,<Null>,<Null>,"Gosport-Sogn complex, 7 to 35 percent slopes",13504.2968139648,483.675213032851
606,156931,156931,0.0990400843217153,156931,0.09904,WYANDOTTE COUNTY LANDBANK,1122  ROWLAND AVE ,1122,,ROWLAND,AVE,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R950,"WESTERN HIGHLANDS RES B7,14",10,500,1,1,30.67,4314.186,Residential highest and best use,240,0,<Null>,<Null>,<Null>,6,<Null>,<Null>,78,1551240,19887.69231,0.974,0,0,0.671,0.491,0.38875,530,,156931,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",4314.18609619141,379.695462030342
607,094588,94588,0.0843722165878577,94588,0.084372,WYANDOTTE COUNTY LANDBANK,212  QUINDARO BLVD ,212,,QUINDARO,BLVD,,KANSAS CITY,KS,66101,<Null>,Y,<Null>,R2757,EDGERTON PLACE B7-19,10,500,1,1,29,3675.254,Residential highest and best use,230,0,<Null>,<Null>,<Null>,1,<Null>,1,80,940550,11756.875,0.317,0,0.866,0.471,0.316,0.394125,507,,94588,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",3675.25366210938,306.421230709569
608,111534,111534,0.0776341526881674,111534,0.077634,WYANDOTTE COUNTY LANDBANK,722  LAFAYETTE AVE ,722,,LAFAYETTE,AVE,,KANSAS CITY,KS,66101,<Null>,Y,<Null>,R2068,GORDON PLACE,10,500,1,1,25,3381.744,Residential highest and best use,220,0,<Null>,<Null>,<Null>,2,<Null>,1,85,1219330,14345.05882,0.576,0,0.866,0.569,0.377,0.47875,254,,111534,0,<Null>,<Null>,<Null>,"Ladoga silt loam, 3 to 8 percent slopes",3381.74365234375,297.470427955734
609,127802,127802,0.125861738747081,127802,0.125862,WYANDOTTE COUNTY LANDBANK,914  ARGENTINE BLVD ,914,,ARGENTINE,BLVD,,KANSAS CITY,KS,66105,Y,Y,<Null>,R59820,FOUNTAIN PLACE,80,500,2,2,50,5482.537,Residential highest and best use,960,0,<Null>,<Null>,<Null>,4,<Null>,<Null>,72,1755240,24378.33333,0.866,0,0,0.725,0.586,0.380375,577,,127802,2007,<Null>,<Null>,<Null>,"Eudora-Urban land complex, rarely flooded",5482.53729248047,326.733694570707
610,154849,154849,0.139025163890785,154849,0.139025,WYANDOTTE COUNTY LANDBANK,526  CENTER ST ,526,,CENTER,ST,,KANSAS CITY,KS,66103,<Null>,Y,<Null>,R62663,CENTER,10,500,3,2,51.6,6055.936,Residential highest and best use,11130,0,<Null>,<Null>,<Null>,1,<Null>,<Null>,26,972380,37399.23077,0.317,0,0,0.483,0.775,0.2365,1235,,154849,<Null>,<Null>,<Null>,<Null>,"Knox complex, 18 to 30 percent slopes",6055.93609619141,343.518873646094
611,073694,73694,0.186636347525132,73694,0.186636,WYANDOTTE COUNTY LANDBANK,719 S COY ST ,719,S,COY,ST,,KANSAS CITY,KS,66105,<Null>,Y,<Null>,R61138,"ARMOURDALE B30-33,37-43,45-69",80,500,2,2,63.33,8129.879,Residential highest and best use,1050,0,<Null>,<Null>,<Null>,0,<Null>,<Null>,47,1025910,21827.87234,0,0,0,0.502,0.54,0.13025,1779,,73694,2006,<Null>,<Null>,<Null>,"Eudora-Urban land complex, rarely flooded",8129.87927246094,382.748292443053
612,161701,161701,0.909476646770319,161701,0.909477,WYANDOTTE COUNTY LANDBANK,2725  GLENROSE LN ,2725,,GLENROSE,LN,,KANSAS CITY,KS,66106,Y,Y,<Null>,R69859,HOLSINGER HILLS REP,10,500,3,2,231.37,39616.803,Residential highest and best use,9870,0,<Null>,<Null>,<Null>,0,<Null>,<Null>,14,1333600,95257.14286,0,0,0,0.602,0.967,0.196125,1447,,161701,<Null>,<Null>,<Null>,<Null>,"Gosport-Sogn complex, 7 to 35 percent slopes",39616.8026123047,998.4348106728
613,155009,155009,0.275800635674986,155009,0.275801,WYANDOTTE COUNTY LANDBANK,741  SHAWNEE RD ,741,,SHAWNEE,RD,,KANSAS CITY,KS,66103,<Null>,Y,<Null>,R62765,CENTER,10,500,3,2,100,12013.876,Residential highest and best use,1170,0,<Null>,<Null>,<Null>,2,<Null>,2,50,2914590,58291.8,0.576,0,0.969,0.923,0.893,0.61325,121,,155009,0,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",12013.8755493164,440.250219306334
614,156001,156001,0.127792729330908,156001,0.127793,WYANDOTTE COUNTY LANDBANK,1519 S 8TH ST ,1519,S,8TH,ST,,KANSAS CITY,KS,66103,<Null>,Y,<Null>,R62581,SCHOONMAKERS 2ND ADD,10,500,3,2,50,5566.651,Residential highest and best use,960,0,LBHD,0,<Null>,1,<Null>,<Null>,27,665840,24660.74074,0.317,0,0,0.369,0.591,0.19925,1426,,156001,<Null>,<Null>,<Null>,<Null>,"Knox complex, 18 to 30 percent slopes",5566.65130615234,323.587981731825
615,244702,244702,0.605995390162059,244702,0.605995,WYANDOTTE COUNTY LANDBANK,1831  GLENDALE AVE ,1831,,GLENDALE,AVE,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R50785,GLENDALE PLACE,10,500,4,1,65,26397.159,Residential highest and best use,470,0,<Null>,<Null>,<Null>,2,<Null>,<Null>,43,1567170,36445.81395,0.576,0,0,0.675,0.764,0.323875,844,,244702,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",26397.1591186523,775.740819048544
616,081191,81191,0.113503613582249,81191,0.113504,WYANDOTTE COUNTY LANDBANK,1061  NEW JERSEY AVE ,1061,,NEW JERSEY,AVE,,KANSAS CITY,KS,66102,Y,Y,<Null>,R45333,WYANDOTTE CITY,10,500,4,1,75,4944.217,Residential highest and best use,250,0,<Null>,<Null>,<Null>,0,1,1,81,893060,11025.4321,0,0.949,0.866,0.45,0.298,0.54725,184,,81191,0,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",4944.21740722656,281.59200905695
617,080514,80514,0.0745457355453212,80514,0.074546,WYANDOTTE COUNTY LANDBANK,942  OAKLAND AVE ,942,,OAKLAND,AVE,,KANSAS CITY,KS,66101,<Null>,Y,<Null>,R45415,WYANDOTTE CITY,10,500,4,1,25,3247.212,Residential highest and best use,220,0,LBHD,10,<Null>,2,<Null>,<Null>,37,226170,6112.702703,0.576,0,0,0.106,0.123,0.172625,1555,,80514,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",3247.21215820313,314.057431838822
618,165019,165019,0.099489236125643,165019,0.099489,WYANDOTTE COUNTY LANDBANK,3016  DELAVAN AVE ,3016,,DELAVAN,AVE,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R3826,ARBOR PARK,10,500,1,1,37.5,4333.751,Residential highest and best use,240,0,<Null>,<Null>,<Null>,3,<Null>,<Null>,58,892980,15396.2069,0.76,0,0,0.45,0.405,0.296875,954,,165019,2008,<Null>,<Null>,<Null>,"Ladoga silt loam, 3 to 8 percent slopes",4333.75115966797,313.227653739141
619,095255,95255,0.0696407928986054,95255,0.069641,WYANDOTTE COUNTY LANDBANK,1904 N 8TH ST ,1904,N,8TH,ST,,KANSAS CITY,KS,66101,<Null>,Y,<Null>,R43347,BRIGHTON HILL,10,500,4,1,25,3033.553,Residential highest and best use,210,0,<Null>,<Null>,<Null>,0,<Null>,<Null>,39,536850,13765.38462,0,0,0,0.316,0.364,0.085,1956,,95255,2010,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",3033.55297851563,289.93469146078
620,095234,95234,0.139124960665393,95234,0.139125,WYANDOTTE COUNTY LANDBANK,1902 N ALLIS ST ,1902,N,ALLIS,ST,,KANSAS CITY,KS,66101,<Null>,Y,<Null>,R43328,BRIGHTON HILL,10,500,4,1,50,6060.283,Residential highest and best use,70,0,LBHD,0,<Null>,0,<Null>,<Null>,39,430380,11035.38462,0,0,0,0.262,0.299,0.070125,2004,,95234,2008,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",6060.28326416016,341.441280939212
621,140530,140530,0.0736566002534217,140530,0.073657,WYANDOTTE COUNTY LANDBANK,1932 N HALLOCK ST ,1932,N,HALLOCK,ST,,KANSAS CITY,KS,66101,<Null>,Y,<Null>,R43195,WALNUT PARK,10,500,1,1,25,3208.482,Residential highest and best use,220,0,LBHD,0,<Null>,0,<Null>,<Null>,34,172480,5072.941176,0,0,0,0.067,0.075,0.01775,2263,,140530,1997,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",3208.48156738281,297.504266430295
622,047365,47365,0.20984767253104,47365,0.209848,WYANDOTTE COUNTY LANDBANK,1621 N 51ST ST ,1621,N,51ST,ST,,KANSAS CITY,KS,66102,<Null>,Y,<Null>,R29538,SPRINGVALE SUB,10,500,1,1,60,9140.965,Residential highest and best use,2190,0,<Null>,<Null>,<Null>,2,<Null>,<Null>,33,1494620,45291.51515,0.576,0,0,0.649,0.839,0.33,821,,47365,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",9140.96459960938,421.393532486705
623,170412,170412,0.280353834121944,170412,0.280354,WYANDOTTE COUNTY LANDBANK,1849 S 37TH TER ,1849,S,37TH,TER,,KANSAS CITY,KS,66106,<Null>,Y,<Null>,R68279,TERRACE ADD,10,500,3,2,100,12212.213,Residential highest and best use,590,0,<Null>,<Null>,<Null>,0,<Null>,<Null>,27,781240,28934.81482,0,0,0,0.409,0.658,0.133375,1757,,170412,<Null>,<Null>,<Null>,<Null>,"Knox complex, 18 to 30 percent slopes",12212.2129516602,444.349166212644
624,047369,47369,0.205924570807024,47369,0.205925,WYANDOTTE COUNTY LANDBANK,1701 N 51ST ST ,1701,N,51ST,ST,,KANSAS CITY,KS,66102,<Null>,Y,<Null>,R29535,SPRINGVALE SUB,10,500,1,1,60,8970.074,Residential highest and best use,2170,0,<Null>,<Null>,<Null>,1,<Null>,<Null>,30,1545520,51517.33333,0.317,0,0,0.669,0.87,0.271625,1069,,47369,<Null>,<Null>,<Null>,<Null>,"Knox complex, 18 to 30 percent slopes",8970.07427978516,419.396337430807
625,126384,126384,0.242373698089447,126384,0.242374,WYANDOTTE COUNTY LANDBANK,2113 S FERREE ST ,2113,S,FERREE,ST,,KANSAS CITY,KS,66103,<Null>,Y,<Null>,R64335,SAUER HIGHLANDS,10,500,3,2,75,10557.798,Residential highest and best use,1120,0,<Null>,<Null>,<Null>,0,<Null>,<Null>,48,2267320,47235.83333,0,0,0,0.842,0.852,0.21175,1358,,126384,1998,<Null>,<Null>,<Null>,"Gosport-Sogn complex, 7 to 35 percent slopes",10557.7983398438,430.667401488762
626,160300,160300,0.127496048370737,160300,0.127496,WYANDOTTE COUNTY LANDBANK,2061 N 27TH ST ,2061,N,27TH,ST,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R7561,ROSS PLACE,10,500,4,1,44,5553.728,Residential highest and best use,260,0,<Null>,<Null>,<Null>,6,<Null>,1,77,2041600,26514.28571,0.974,0,0.866,0.796,0.619,0.636875,92,,160300,1997,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",5553.72784423828,360.178457657731
627,160158,160158,0.290392018483772,160158,0.290392,WYANDOTTE COUNTY LANDBANK,2639 N 22ND ST ,2639,N,22ND,ST,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R7210,KLAMM ESTATE SUB,10,500,1,1,50,12649.476,Residential highest and best use,330,0,<Null>,<Null>,<Null>,2,<Null>,<Null>,65,1342520,20654.15385,0.576,0,0,0.605,0.513,0.28375,1012,,160158,2000,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",12649.4764404297,602.20523522588
628,163132,163132,0.13919634321518,163132,0.139196,WYANDOTTE COUNTY LANDBANK,2640 N 21ST ST ,2640,N,21ST,ST,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R7226,LONGWOOD ANNEX,10,500,1,1,50,6063.393,Residential highest and best use,260,0,<Null>,<Null>,<Null>,4,<Null>,<Null>,87,1849180,21254.94253,0.866,0,0,0.751,0.528,0.376375,594,,163132,2012,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",6063.39276123047,341.38690207639
629,073742,73742,0.172688856505527,73742,0.172689,WYANDOTTE COUNTY LANDBANK,829 S MILL ST ,829,S,MILL,ST,,KANSAS CITY,KS,66105,<Null>,Y,<Null>,R61221,"ARMOURDALE B30-33,37-43,45-69",80,500,2,2,50,7522.327,Residential highest and best use,1030,0,<Null>,<Null>,<Null>,2,1,<Null>,57,1429000,25070.17544,0.576,0.949,0,0.63,0.597,0.534625,203,81,73742,2011,<Null>,<Null>,<Null>,"Eudora-Urban land complex, rarely flooded",7522.32666015625,397.086601198953
630,047403,47403,0.157945424671016,47403,0.157945,WYANDOTTE COUNTY LANDBANK,1510 N 49TH ST ,1510,N,49TH,ST,,KANSAS CITY,KS,66102,Y,Y,<Null>,R29791,SPRINGVALE SUB,10,500,1,1,70,6880.103,Residential highest and best use,3980,0,<Null>,<Null>,<Null>,5,<Null>,<Null>,55,3050710,55467.45455,0.939,0,0,0.93,0.883,0.461375,278,,47403,2006,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",6880.10266113281,357.489614925889
631,090215,90215,0.0925011884077305,90215,0.092501,WYANDOTTE COUNTY LANDBANK,1023  SANDUSKY AVE ,1023,,SANDUSKY,AVE,,KANSAS CITY,KS,66102,Y,Y,<Null>,R46443,NORTHRUP PARK,10,500,2,2,30,4029.352,Residential highest and best use,590,0,<Null>,<Null>,<Null>,2,<Null>,<Null>,89,3876150,43552.24719,0.576,0,0,0.971,0.831,0.36925,635,,90215,1995,<Null>,<Null>,<Null>,"Ladoga silt loam, 3 to 8 percent slopes",4029.35180664063,337.870895478261
632,212802,212802,0.135411590891581,212802,0.135412,WYANDOTTE COUNTY LANDBANK,103 S 14TH ST ,103,S,14TH,ST,,KANSAS CITY,KS,66102,<Null>,Y,<Null>,R58788,BOSTON PLACE ANNEX B2,10,500,2,2,45,5898.529,Residential highest and best use,710,0,LBHD,29,<Null>,0,<Null>,1,94,2928260,31151.70213,0,0,0.866,0.923,0.694,0.418625,389,,212802,2004,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",5898.52886962891,347.381498030252
633,093105,93105,0.0693467059178969,93105,0.069347,WYANDOTTE COUNTY LANDBANK,267 N 9TH ST ,267,N,9TH,ST,,KANSAS CITY,KS,66101,<Null>,Y,<Null>,R48358,HUSTED & STUMPFS ADD,10,500,2,2,25,3020.743,Residential highest and best use,510,0,<Null>,<Null>,<Null>,3,1,1,119,2754220,23144.70588,0.76,0.949,0.866,0.911,0.567,0.8285,10,,93105,1992,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",3020.74249267578,287.721105798777
634,031845,31845,1.18387479082447,31845,1.183875,WYANDOTTE COUNTY LANDBANK,6147  EDITH AVE ,6147,,EDITH,AVE,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R12928,FRIEDBERG HEIGHTS,10,500,8,1,164,51569.586,Residential highest and best use,12930,0,<Null>,<Null>,<Null>,3,<Null>,<Null>,31,2118390,68335.16129,0.76,0,0,0.811,0.926,0.407125,440,,31845,1998,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",51569.5859375,952.980242318977
635,154898,154898,0.0671792852500232,154898,0.067179,WYANDOTTE COUNTY LANDBANK,616  MELVILLE ST ,616,,MELVILLE,ST,,KANSAS CITY,KS,66103,<Null>,Y,<Null>,R62613,CENTER,10,500,3,2,25,2926.33,Residential highest and best use,410,0,<Null>,<Null>,<Null>,0,<Null>,<Null>,34,948640,27901.17647,0,0,0,0.473,0.644,0.139625,1725,,154898,<Null>,<Null>,<Null>,<Null>,"Knox complex, 18 to 30 percent slopes",2926.32958984375,273.047975463231
636,127305,127305,0.0792624733684711,127305,0.079262,WYANDOTTE COUNTY LANDBANK,939  RUBY AVE ,939,,RUBY,AVE,,KANSAS CITY,KS,66103,<Null>,Y,<Null>,R63421,BOWER & BROWNS RES,10,500,3,2,50,3452.673,Residential highest and best use,850,0,<Null>,<Null>,<Null>,1,<Null>,<Null>,22,699360,31789.09091,0.317,0,0,0.382,0.704,0.215,1337,,127305,<Null>,<Null>,<Null>,<Null>,"Knox complex, 18 to 30 percent slopes",3452.67333984375,239.139206030608
637,072726,72726,0.138771676092823,72726,0.138772,WYANDOTTE COUNTY LANDBANK,912 S MILL ST ,912,S,MILL,ST,,KANSAS CITY,KS,66105,<Null>,Y,<Null>,R60396,ARMOURDALE B73-99,80,500,2,2,49.24,6044.894,Residential highest and best use,980,0,<Null>,<Null>,<Null>,1,1,1,58,1275050,21983.62069,0.317,0.949,0.866,0.586,0.542,0.674,60,,72726,0,<Null>,<Null>,<Null>,"Eudora-Urban land complex, rarely flooded",6044.89428710938,340.674854035376
638,001143,1143,0.182560686236568,1143,0.182561,WYANDOTTE COUNTY LANDBANK,6138  HASKELL AVE ,6138,,HASKELL,AVE,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R15595,SOUTH QUIVIRIAN ACRES,10,500,8,1,71,7952.343,Residential highest and best use,13180,0,<Null>,<Null>,<Null>,2,<Null>,<Null>,58,4502230,77624.65517,0.576,0,0,0.982,0.944,0.38475,554,,1143,1999,<Null>,<Null>,<Null>,"Ladoga silt loam, 3 to 8 percent slopes",7952.34344482422,365.978529904141
639,115217,115217,0.099965062264009,115217,0.099965,WYANDOTTE COUNTY LANDBANK,3037 N 16TH ST ,3037,N,16TH,ST,,KANSAS CITY,KS,66104,Y,Y,<Null>,R6275,MARIE PLACE,10,500,1,1,115,4354.478,Residential highest and best use,240,0,<Null>,<Null>,<Null>,0,<Null>,<Null>,44,168090,3820.227273,0,0,0,0.06,0.032,0.0115,2304,,115217,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",4354.47808837891,306.317128857717
640,158763,158763,0.0995608176654151,158763,0.099561,WYANDOTTE COUNTY LANDBANK,2818  HIAWATHA ST ,2818,,HIAWATHA,ST,,KANSAS CITY,KS,66104,Y,Y,<Null>,R7392,HAZEL ROSE,10,500,1,1,37.5,4336.869,Residential highest and best use,240,0,<Null>,<Null>,<Null>,2,<Null>,<Null>,55,845100,15365.45455,0.576,0,0,0.431,0.405,0.2485,1175,,158763,1999,<Null>,<Null>,<Null>,"Ladoga silt loam, 3 to 8 percent slopes",4336.869140625,310.312432248322
641,106825,106825,0.151428829989361,106825,0.151429,WYANDOTTE COUNTY LANDBANK,3064  CISSNA ST ,3064,,CISSNA,ST,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R6208,GRANT PLACE,10,500,1,1,50,6596.24,Residential highest and best use,270,0,<Null>,<Null>,<Null>,0,<Null>,<Null>,33,277550,8410.606061,0,0,0,0.155,0.23,0.048125,2105,,106825,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",6596.23986816406,378.199167008009
642,158598,158598,0.138308200215057,158598,0.138308,WYANDOTTE COUNTY LANDBANK,2969  HUTCHINGS ST ,2969,,HUTCHINGS,ST,,KANSAS CITY,KS,66104,Y,Y,<Null>,R6333,ELMGROVE PLACE,10,500,1,1,50,6024.705,Residential highest and best use,260,0,<Null>,<Null>,<Null>,0,<Null>,1,50,1563190,31263.8,0,0,0.866,0.673,0.696,0.387625,536,,158598,2003,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",6024.70520019531,346.626721824164
643,115363,115363,0.0685782121613418,115363,0.068578,WYANDOTTE COUNTY LANDBANK,3008 N 16TH ST ,3008,N,16TH,ST,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R6329,MARIE PLACE,10,500,1,1,25,2987.267,Residential highest and best use,210,0,<Null>,<Null>,<Null>,0,<Null>,<Null>,46,225970,4912.391304,0,0,0,0.106,0.068,0.02175,2232,,115363,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",2987.26690673828,285.926259756584
644,115379,115379,0.0661675508428786,115379,0.066168,WYANDOTTE COUNTY LANDBANK,3022 N 16TH ST ,3022,N,16TH,ST,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R6102,MARIE PLACE,10,500,1,1,25,2882.259,Residential highest and best use,210,0,<Null>,<Null>,<Null>,0,<Null>,<Null>,48,228790,4766.458333,0,0,0,0.108,0.058,0.02075,2238,,115379,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",2882.25854492188,284.501721899725
645,115407,115407,0.157384016860936,115407,0.157384,WYANDOTTE COUNTY LANDBANK,1335  ROSWELL AVE ,1335,,ROSWELL,AVE,,KANSAS CITY,KS,66104,<Null>,Y,<Null>,R6442,MARIE PLACE,10,500,1,1,60,6855.648,Residential highest and best use,270,0,<Null>,<Null>,<Null>,0,<Null>,<Null>,47,185940,3956.170213,0,0,0,0.077,0.036,0.014125,2285,,115407,<Null>,<Null>,<Null>,<Null>,"Knox silt loam, 7 to 12 percent slopes",6855.64770507813,349.982574204162
